epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.607,1.13538,0.69573,1.23902,0.93137,0.94241,0.93607,0.57048,1.33935,0.70094,1.60303,0.00191882,0.00191882,0.00191882
43,164.24,1.13571,0.70817,1.29899,0.93722,0.90278,0.92776,0.56006,1.35409,0.7036,1.61618,0.00191684,0.00191684,0.00191684
44,167.826,1.13622,0.67185,1.28848,0.95307,0.84614,0.90868,0.50496,1.46453,0.96744,1.73524,0.00191486,0.00191486,0.00191486
45,171.397,1.10748,0.66192,1.2733,0.89815,0.90278,0.90238,0.53035,1.44076,0.74341,1.67076,0.00191288,0.00191288,0.00191288
46,174.936,1.11587,0.6731,1.3177,0.94431,0.94204,0.95362,0.55629,1.37018,0.68314,1.62093,0.0019109,0.0019109,0.0019109
47,178.336,1.17039,0.69408,1.30043,0.92857,0.90276,0.90352,0.54991,1.36591,0.72611,1.60961,0.00190892,0.00190892,0.00190892
48,181.784,1.17237,0.71633,1.29516,0.91174,0.94444,0.92932,0.56556,1.34476,0.70761,1.55717,0.00190694,0.00190694,0.00190694
49,185.238,1.11799,0.7066,1.24894,0.91232,0.86715,0.8923,0.5219,1.39981,0.73397,1.61303,0.00190496,0.00190496,0.00190496
50,188.7,1.12157,0.67765,1.24226,0.90092,0.88407,0.88167,0.52277,1.41362,0.80865,1.61648,0.00190298,0.00190298,0.00190298
51,192.096,1.1556,0.70067,1.2779,0.92627,0.90278,0.93871,0.50312,1.48584,0.84834,1.66843,0.001901,0.001901,0.001901
