epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,105.23,1.56011,0.98986,1.59138,0.80701,0.88571,0.88951,0.50477,1.59668,1.03322,1.7727,0.0019703,0.0019703,0.0019703
17,110.854,1.52922,0.99178,1.53531,0.91264,0.89546,0.93585,0.50023,1.60065,0.84163,1.70921,0.00196832,0.00196832,0.00196832
18,116.674,1.52101,0.94928,1.49152,0.89376,0.98571,0.95347,0.53339,1.43273,0.76788,1.61535,0.00196634,0.00196634,0.00196634
19,122.486,1.52886,0.91834,1.52181,0.91672,0.97143,0.95074,0.5475,1.50133,0.75646,1.67309,0.00196436,0.00196436,0.00196436
20,128.221,1.60978,1.00259,1.60396,0.91382,0.90894,0.92728,0.53776,1.43476,0.79396,1.6678,0.00196238,0.00196238,0.00196238
21,133.807,1.49207,0.92615,1.5293,0.8793,0.87143,0.90275,0.52755,1.52453,0.89339,1.6593,0.0019604,0.0019604,0.0019604
22,139.661,1.60146,0.98179,1.54266,0.86908,0.91429,0.93359,0.53616,1.41483,0.91049,1.60644,0.00195842,0.00195842,0.00195842
23,145.24,1.48875,0.95259,1.51612,0.87903,0.93428,0.93615,0.50647,1.47407,0.86458,1.61619,0.00195644,0.00195644,0.00195644
24,150.397,1.62274,1.05046,1.55394,0.87699,0.88571,0.93221,0.45676,1.57898,0.89102,1.72238,0.00195446,0.00195446,0.00195446
25,155.881,1.55121,0.94075,1.54459,0.88866,0.88571,0.91583,0.51092,1.43856,0.87451,1.58073,0.00195248,0.00195248,0.00195248
26,161.315,1.4643,0.92744,1.48909,0.92343,0.94286,0.93018,0.53252,1.44971,0.75416,1.62564,0.0019505,0.0019505,0.0019505
27,167.091,1.51903,0.9545,1.56463,0.96998,0.92328,0.95811,0.53634,1.42684,0.81448,1.63007,0.00194852,0.00194852,0.00194852
28,172.575,1.41105,0.86666,1.43197,0.89631,0.94286,0.92537,0.50952,1.40848,0.80579,1.60532,0.00194654,0.00194654,0.00194654
29,178.224,1.4835,0.88693,1.5077,0.91809,0.96082,0.95967,0.54464,1.47092,0.79458,1.68089,0.00194456,0.00194456,0.00194456
