epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,774.66,1.12597,0.68938,1.2417,0.91712,0.93056,0.945,0.54991,1.41632,0.68649,1.63223,0.00191882,0.00191882,0.00191882
43,804.942,1.17389,0.69858,1.32138,0.94422,0.9405,0.93605,0.53127,1.4564,0.70125,1.68611,0.00191684,0.00191684,0.00191684
44,835.672,1.22569,0.73592,1.30313,0.92598,0.90278,0.92823,0.55641,1.4061,0.7556,1.61593,0.00191486,0.00191486,0.00191486
45,857.723,1.16791,0.7285,1.31656,0.91331,0.93056,0.92239,0.52802,1.47378,0.75343,1.7025,0.00191288,0.00191288,0.00191288
46,884.37,1.18874,0.71375,1.29725,0.93492,0.91667,0.93374,0.53185,1.51422,0.74993,1.76336,0.0019109,0.0019109,0.0019109
47,915.871,1.1881,0.70662,1.30293,0.93018,0.94444,0.93656,0.56672,1.44857,0.75221,1.65787,0.00190892,0.00190892,0.00190892
48,933.2,1.16409,0.72208,1.27491,0.92089,0.97006,0.96057,0.54574,1.42838,0.79292,1.63247,0.00190694,0.00190694,0.00190694
49,952.978,1.1574,0.71469,1.2698,0.91832,0.93692,0.93266,0.53881,1.4724,0.77554,1.72543,0.00190496,0.00190496,0.00190496
50,972.592,1.17164,0.71282,1.25836,0.88856,0.95833,0.93007,0.54621,1.46903,0.75019,1.63941,0.00190298,0.00190298,0.00190298
51,998.648,1.21107,0.74315,1.30443,0.95678,0.97222,0.96231,0.54895,1.45309,0.69367,1.65341,0.001901,0.001901,0.001901
